bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",65,100.3391101,118.9972697,178.9137235,113.0249136,238.340513,49.23644528,96.4655536,231.3473246
"BMR = 10%: Added, BMR: 0.1",66,132.1284011,136.2652138,207.9779476,90.16593207,217.9485447,25.74271911,70.37143699,241.9413258
"BMR = 10%: Added, BMR: 0.1",67,139.5059756,102.5174491,194.2367877,125.7535434,229.4871829,38.83917739,75.57053231,246.0589673
"BMR = 10%: Added, BMR: 0.1",68,109.9160847,131.799052,162.4711921,85.15718755,235.2782077,53.69318982,47.42872296,248.9850002
"BMR = 10%: Added, BMR: 0.1",69,121.6689383,162.4591354,219.4666486,110.7444952,255.0536059,66.21165032,37.71651084,249.5604221
"BMR = 10%: Added, BMR: 0.1",70,128.8410345,128.1449803,234.0026963,97.05695421,278.9568337,69.28880419,77.61318993,239.3338164
"BMR = 10%: Added, BMR: 0.1",71,139.0926456,111.5624812,228.6851247,96.90575762,256.8515332,71.90901269,82.08331901,240.3638076
"BMR = 10%: Added, BMR: 0.1",72,136.5455658,120.7521062,224.9943431,93.82175432,259.58945,57.11591456,47.81718178,170.0859296
"BMR = 10%: Added, BMR: 0.1",73,150.6889674,133.877504,239.6526461,91.52026573,226.1961778,59.32116412,126.9666474,235.2920628
"BMR = 10%: Added, BMR: 0.1",74,130.796191,139.3464892,242.1103119,83.74705881,209.7746955,55.85012428,82.37738095,245.8361043
"BMR = 10%: Added, BMR: 0.1",75,118.2783671,128.0979924,197.5239863,103.6626542,214.7465778,54.71947864,61.87388849,241.9672546
"BMR = 10%: Added, BMR: 0.1",76,124.6855957,134.6653162,251.9822906,111.0933473,214.6950774,42.49155122,90.25531596,253.5580133
"BMR = 10%: Added, BMR: 0.1",77,108.779066,131.0305036,257.7286303,105.51452,237.1027008,29.02922427,60.64359449,233.5942758
